index,title_hindi,content_hindi,rating,labels,polarity,sentiment
1,पहले दिन काम नहीं हुआ,"लोहा काम नहीं कर रहा है, गर्म नहीं हो रहा है",2,Negative,0.25,Positive
2,चार्ज बहुत जल्दी खत्म हो जाता है,मुझे डिज़ाइन पसंद है और कोई शोर नहीं है। लेकिन चार्ज बहुत जल्द खत्म हो जाता है,2,Negative,0.2,Positive
3,उत्पाद ने दो सप्ताह में काम करना बंद कर दिया,"मैं किसी को भी इस ब्रश की अनुशंसा नहीं करूंगा। जब से मैंने इसे खरीदा है, मेरे दो सप्ताह के भीतर ही इसने काम करना बंद कर दिया है। मुझे लगता है कि बैटरी कम्पार्टमेंट वाटरप्रूफ नहीं था और जब मैंने जांच की तो अंदर पानी की बूंदें थीं। मैंने इसे सुखाने और फिर से चालू करने की कोशिश की लेकिन ब्रश ख़राब ही रहा। केवल अच्छी बात यह हुई कि जब मैंने वारंटी का दावा मांगा, तो कंपनी ने सकारात्मक प्रतिक्रिया दी और मुझे उतनी ही राशि का उपहार वाउचर दिया। हालाँकि मैंने उस वाउचर से एक रिचार्जेबल ब्रश खरीदा, इसके अतिरिक्त कुछ और पैसे भी चुकाए।",2,Negative,0.0944,Positive
4,उतरते समय चार्ज करना,"उत्पाद अच्छा था, चार्जिंग बहुत खराब थी, हमने फुल चार्ज के लिए कम से कम 5 घंटे का समय रखा है, यह एक शेव के लिए आएगा। लेकिन ट्रिमर अच्छा था",3,Neutral,0.108,Positive
5,ख़राब गुणवत्ता वाला माउस,इस बार विक्रेता द्वारा आपूर्ति किये गये चूहों से खुश नहीं हूँ। खराब गुणवत्ता। इसकी उम्मीद नहीं थी.,2,Negative,-0.2333,Negative
6,ख़ून,ब्लीड का काम अच्छा नहीं है और ब्लीड हटाने योग्य नहीं है,3,Neutral,-0.35,Negative
7,अमेज़ॅन से खराब सेवा इसलिए मैं दृढ़ता से अनुशंसा करता हूं कि अमेज़ॅन से क,अमेज़ॅन से खराब अनुभव। उत्पाद क्रमांक मेल नहीं खाता इसलिए मैंने मुद्दा उठाया लेकिन अमेज़ॅन ग्राहक सेवा से समर्थन नहीं मिल सका।,1,Negative,-0.7,Negative
8,"काम करता है, लेकिन भयानक गुणवत्ता वाली सामग्री और केवल एक लंबाई वाली कंघी","मुझे इसकी परवाह नहीं है कि इंटरनेट पर समीक्षाएँ कितनी अच्छी हैं, इस कीमत के लिए यह सर्वोत्तम नहीं है। 'आप जो भुगतान करते हैं वही आपको मिलता है' का एक आदर्श उदाहरण। असल में, इस मामले में, मुझे लगता है कि आप जितना भुगतान करते हैं उससे कम मिलता है। मैंने इसे बॉक्स से बाहर निकालने के बाद इसका उपयोग भी नहीं किया। यह इतना सस्ता लगता है, मुझे डर था कि मैं इसे पकड़कर ही तोड़ दूँगा! बॉडी के लिए उपयोग की जाने वाली सामग्री बहुत अच्छी नहीं है, और इसका वजन बहुत हल्का है, जिससे यह महसूस होता है कि 'यह एक सप्ताह तक चलेगी।' कंघी कमजोर प्लास्टिक से बनी है। मैंने इसे थोड़ा सा दबाया, और यह बहुत अधिक मुड़ गया। महत्वपूर्ण: यदि आपके बाल बहुत अच्छे हैं (मेरे मामले में छाती और कंधे) और आप बस अपने बालों को थोड़ा छोटा करना चाहते हैं ताकि आप फ़ारसी कालीन की तरह न दिखें, यह तुम्हारे लिए नहीं है।क्यों? केवल एक लंबाई वाली कंघी/कवर है, जिससे बाल थोड़े लंबे नहीं रहते। यह इसे नीचे की ओर ट्रिम करता है, और मेरी छाती मेरे चेहरे पर 5 बजे की छाया की तरह दिखती है। आपके पास",2,Negative,0.0726,Positive
9,ऑर्डर करते समय हर बार उत्पाद की जांच करें,"मैंने उन्हें पहली बार ऑर्डर किया था, यह गोल मुंह वाले किनारे के साथ अच्छा था और दोबारा ऑर्डर करने पर बोतल का ढक्कन भी अच्छा था, मुझे तेज मुंह वाले रिम और कम गुणवत्ता वाले बोतल कैप के साथ एक खराब गुणवत्ता वाला उत्पाद मिला, जो सस्ते माल जैसा दिखता है और कोई चमक नहीं, मिल्टन जैसा नहीं दिखता।",3,Neutral,0.1656,Positive
10,खास बात,"यह उत्पाद अच्छा है, लेकिन बैटरी जल्दी खराब हो गई है और यूएसबी केबल काम नहीं कर रही है... अमेज़न से इसे स्वीकार न करें... आपने मेरा विश्वास खो दिया है...",1,Negative,0.1111,Positive
